,step,datetime,geometry,neighborhood,victim,criminal,witnesses,successful,date,position
0,3,2020-01-01 06:15:00,,37,300278872619058387052034108897397679379,11333852413467026655406130067838777127,1,False,2020-01-01,POINT (515287.66241089243 5031864.350233795)
1,15,2020-01-01 09:15:00,,37,300278872619058387052034108897397679379,83047345135904595603581511431795507956,0,False,2020-01-01,POINT (515287.66241089243 5031864.350233795)
2,42,2020-01-01 16:00:00,,77,207240850048499910369312550580665819402,11333852413467026655406130067838777127,0,False,2020-01-01,POINT (513199.49581519887 5038445.305577447)
3,44,2020-01-01 16:30:00,,77,207240850048499910369312550580665819402,83047345135904595603581511431795507956,0,False,2020-01-01,POINT (513199.49581519887 5038445.305577447)
4,44,2020-01-01 16:30:00,,37,214634794217493458744175223534852037734,141077442132168319803722544790276900222,0,False,2020-01-01,POINT (515287.66241089243 5031864.350233795)
5,45,2020-01-01 16:45:00,,77,207240850048499910369312550580665819402,141077442132168319803722544790276900222,0,False,2020-01-01,POINT (513199.49581519887 5038445.305577447)
6,50,2020-01-01 18:00:00,,77,207240850048499910369312550580665819402,83047345135904595603581511431795507956,0,False,2020-01-01,POINT (513199.49581519887 5038445.305577447)
7,50,2020-01-01 18:00:00,,77,207240850048499910369312550580665819402,141077442132168319803722544790276900222,0,False,2020-01-01,POINT (513199.49581519887 5038445.305577447)
8,55,2020-01-01 19:15:00,,77,207240850048499910369312550580665819402,11333852413467026655406130067838777127,0,False,2020-01-01,POINT (513199.49581519887 5038445.305577447)
9,67,2020-01-01 22:15:00,,37,300278872619058387052034108897397679379,11333852413467026655406130067838777127,0,False,2020-01-01,POINT (515287.66241089243 5031864.350233795)
10,106,2020-01-02 08:00:00,,77,50149481375834321405623806387336106889,83047345135904595603581511431795507956,0,False,2020-01-02,POINT (513199.49581519887 5038445.305577447)
11,146,2020-01-02 18:00:00,,37,300278872619058387052034108897397679379,83047345135904595603581511431795507956,0,False,2020-01-02,POINT (515287.66241089243 5031864.350233795)
12,151,2020-01-02 19:15:00,,37,214634794217493458744175223534852037734,141077442132168319803722544790276900222,0,False,2020-01-02,POINT (515287.66241089243 5031864.350233795)
13,156,2020-01-02 20:30:00,,37,214634794217493458744175223534852037734,141077442132168319803722544790276900222,1,False,2020-01-02,POINT (515287.66241089243 5031864.350233795)
14,156,2020-01-02 20:30:00,,37,300278872619058387052034108897397679379,11333852413467026655406130067838777127,1,False,2020-01-02,POINT (515287.66241089243 5031864.350233795)
15,164,2020-01-02 22:30:00,,37,214634794217493458744175223534852037734,83047345135904595603581511431795507956,0,False,2020-01-02,POINT (515287.66241089243 5031864.350233795)
16,166,2020-01-02 23:00:00,,37,214634794217493458744175223534852037734,11333852413467026655406130067838777127,0,False,2020-01-02,POINT (515287.66241089243 5031864.350233795)
17,255,2020-01-03 21:15:00,,77,50149481375834321405623806387336106889,141077442132168319803722544790276900222,0,False,2020-01-03,POINT (513199.49581519887 5038445.305577447)
