name,prop,ae,loce,scalee
ADRIANO,1.29,4329242.0,4645.0,34635.0
AFFORI,1.84,18327383.0,4753.0,35038.0
ASSIANO,0.02,10345851.0,4733.0,28895.0
BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,2.18,10345851.0,4733.0,28895.0
BANDE NERE,3.15,22854982.0,4538.0,47964.0
BARONA,1.19,17153785.0,4812.0,31863.0
BICOCCA,0.63,5846416.0,4544.0,40700.0
BOVISA,1.0,3654839.0,4721.0,35776.0
BOVISASCA,0.52,6547274.0,4857.0,28279.0
BRERA,1.31,1251604.0,4046.0,123543.0
BRUZZANO,0.91,810556.0,4805.0,31968.0
BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,4.47,6468726.0,4275.0,86562.0
CANTALUPA,0.04,17153785.0,4812.0,31863.0
CASCINA MERLATA,0.07,17570863.0,4831.0,27022.0
CHIARAVALLE,0.07,14988505.0,4713.0,38693.0
CIMIANO - ROTTOLE - Q.RE FELTRE,1.4,16589086.0,4420.0,44677.0
CITTA' STUDI,2.59,7436163.0,4209.0,68103.0
COMASINA,0.7,810556.0,4805.0,31968.0
CORSICA,1.4,14200374.0,4486.0,45662.0
DE ANGELI - MONTE ROSA,1.55,9550020.0,4329.0,79670.0
DERGANO,1.71,18236228.0,4695.0,38005.0
DUOMO,1.19,1335788.0,4023.0,149765.0
FARINI,0.27,19500924.0,4524.0,54439.0
FIGINO,0.18,23352035.0,4686.0,30118.0
FORZE ARMATE,1.8,1247771.0,4681.0,36823.0
GHISOLFA,1.29,21190185.0,4387.0,70835.0
GIAMBELLINO,2.21,24083240.0,4545.0,50357.0
GIARDINI P.TA VENEZIA,0.0,2854700.0,4091.0,122468.0
GORLA - PRECOTTO,2.12,5713894.0,4539.0,40240.0
GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,1.33,17153785.0,4812.0,31863.0
GRECO - SEGNANO,1.16,5101684.0,4596.0,41086.0
GUASTALLA,1.11,5323498.0,4087.0,118923.0
ISOLA,1.62,9702015.0,4410.0,64179.0
LAMBRATE - ORTICA,0.87,9163787.0,4376.0,48082.0
LODI - CORVETTO,2.64,21133233.0,4663.0,38444.0
LORENTEGGIO,1.02,23744669.0,4585.0,43117.0
LORETO - CASORETTO - NOLO,3.15,13079773.0,4466.0,58796.0
MACIACHINI - MAGGIOLINA,1.87,11716726.0,4489.0,58085.0
MAGENTA - S. VITTORE,1.29,9918969.0,3861.0,138332.0
MAGGIORE - MUSOCCO - CERTOSA,0.63,3802405.0,4711.0,43210.0
MONCUCCO - SAN CRISTOFORO,0.99,19083845.0,4466.0,56469.0
MONLUE' - PONTE LAMBRO,0.38,3140621.0,4462.0,35269.0
MORIVIONE,0.55,4550916.0,4517.0,46620.0
MUGGIANO,0.22,6200608.0,4768.0,27955.0
NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,2.59,16248150.0,4635.0,39741.0
ORTOMERCATO,0.3,21133233.0,4663.0,38444.0
PADOVA - TURRO - CRESCENZAGO,2.71,27115585.0,4542.0,41261.0
PAGANO,1.28,5862956.0,3987.0,120993.0
PARCO BOSCO IN CITTA',0.05,8570395.0,4650.0,41994.0
PARCO DEI NAVIGLI,0.03,17153785.0,4812.0,31863.0
PARCO DELLE ABBAZIE,0.03,3333409.0,4673.0,38000.0
PARCO FORLANINI - CAVRIANO,0.17,17873046.0,4384.0,44614.0
PARCO NORD,0.01,7512152.0,4738.0,37073.0
PARCO SEMPIONE,,9147581.0,4115.0,133096.0
PORTA GARIBALDI - PORTA NUOVA,0.42,3771577.0,4300.0,100956.0
PORTA GENOVA,1.09,17819238.0,4294.0,64595.0
PORTA MAGENTA,1.92,28071059.0,4067.0,99073.0
PORTA TICINESE - CONCA DEL NAVIGLIO,1.43,1935245.0,4315.0,84059.0
PORTA TICINESE - CONCHETTA,1.21,3090050.0,4354.0,72701.0
PORTA VIGENTINA - PORTA LODOVICA,0.97,13857703.0,4358.0,76284.0
PORTELLO,0.65,7331109.0,4340.0,83307.0
PTA ROMANA,1.18,6415644.0,4388.0,72881.0
Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,2.33,11414354.0,4559.0,52682.0
QT 8,0.29,5347234.0,4433.0,69294.0
QUARTO CAGNINO,0.71,10345851.0,4733.0,28895.0
QUARTO OGGIARO - VIALBA - MUSOCCO,2.25,17570863.0,4831.0,27022.0
QUINTO ROMANO,0.34,23352035.0,4686.0,30118.0
QUINTOSOLE,0.07,13688732.0,4654.0,37735.0
ROGOREDO - SANTA GIULIA,0.84,6459355.0,4680.0,36206.0
RONCHETTO DELLE RANE,0.05,17153785.0,4812.0,31863.0
RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,1.04,24083240.0,4545.0,50357.0
ROSERIO,0.02,20748440.0,4921.0,21801.0
SAN SIRO,1.91,68780786.0,4457.0,60721.0
SARPI,2.22,16487871.0,4301.0,101351.0
SCALO ROMANA,0.87,8537449.0,4502.0,50896.0
STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,2.11,13688732.0,4654.0,37735.0
STADIO - IPPODROMI,0.94,8753466.0,4613.0,44914.0
STAZIONE CENTRALE - PONTE SEVESO,1.32,4529038.0,4381.0,86030.0
STEPHENSON,0.01,17570863.0,4831.0,27022.0
TALIEDO - MORSENCHIO - Q.RE FORLANINI,1.39,11933917.0,4434.0,44601.0
TIBALDI,0.82,37942888.0,4575.0,43472.0
TRE TORRI,0.17,9425571.0,3971.0,118886.0
TRENNO,0.28,6749406.0,4519.0,57817.0
TRIULZO SUPERIORE,0.12,6459355.0,4680.0,36206.0
UMBRIA - MOLISE - CALVAIRATE,1.63,7109952.0,4520.0,53836.0
VIGENTINO - Q.RE FATIMA,1.1,3989369.0,4591.0,41300.0
VILLAPIZZONE - CAGNOLA - BOLDINASCO,2.97,2136750.0,4587.0,54246.0
XXII MARZO,2.26,16564034.0,4225.0,72834.0
CITY,100.0,9187324.879473206,3861.444324975754,66345.3891270837
